as_of_date,ticker,company_name,sector,price,fair_value_bear,fair_value_base,fair_value_bull,base_upside,dispersion,quality_score,opportunity_score,confidence_score,confidence,data_completeness,methods_used,pe,pb,dcf,comps,roe,net_margin,ebitda_margin,fcf_margin,debt_equity,eps_growth,revenue_growth,beta,discount_rate,discount_rate_source
2026-09-26,AXPH,,Healthcare,1655.9999999999998,751.8508656065743,1659.9559996681655,1659.9559996681655,0.002388888688505894,0.6411381335550306,80.5,68.0,91.3,Medium,100,3,16.59318637274549,7.627118644067796,751.8508656065743,1816.111957017297,0.4594843462246777,0.16008982996470966,0.2214661533525826,0.17420596727622714,0.005847145488029466,-0.2518011036859611,-0.1874568110710234,,0.25,Fallback
2026-09-26,BINV,,Unclassified,56.97014105147463,38.056507266379796,38.25743274646487,38.45835822654995,-0.32846519175899763,0.010503866342345815,68.1,57.2,93.5,High,100,2,20.05990882094177,2.0983477367025647,,38.45835822654995,0.09187627069416207,0.7899165959146981,0.7701143684762524,0.11572941117714629,0.0030119082195759514,-0.2577121929951285,-0.2729845075962264,,0.25,Fallback
2026-09-26,BIOC,,Healthcare,255.6580050293378,38.75448375978784,43.05422654168423,47.353969323580614,-0.831594451592691,0.19973615262759228,44.8,37.3,87.5,High,100,2,109.72446567782738,9.787825613680619,,47.353969323580614,0.08802016498625115,0.053084577114427864,0.12184355997788833,-0.36014372581536763,0.8194317140238313,-0.04508841667905594,-0.1291608882270624,,0.25,Fallback
2026-09-26,BONY,,Real Estate,4.2032085561497325,1.2568610234524769,7.179811023300904,12.584347826086958,0.7081738694112839,1.929020883983016,79.9,83.4,83.0,Medium,90,4,3.891859774212715,0.6021788762392166,1.2568610234524769,1.7752742205148497,0.15411638918588666,,,,0.08675729341683214,1.010336261506363,,,0.25,Fallback
2026-09-26,BTFH,,Financials,2.8199626865671643,0.37102793615464835,1.5515849721290873,2.7321420081035264,-0.4497852827911408,1.5217433233508015,28.4,39.0,72.7,Medium,90,2,46.99937810945274,1.2702534624176414,,,0.02815194317439582,0.053741427680798,,-0.27072942643391523,2.628061724363161,,-0.5366995656125879,,0.25,Fallback
2026-09-26,CANA,,Financials,47.49,28.5028868953503,33.204787186241774,37.90668747713324,-0.30080464968958154,0.28320616931041054,53.4,51.6,83.1,High,90,2,7.747145187601958,2.050518134715026,,,0.30079440462827045,0.4559853393546698,,-4.362065580208129,0.4878248855884639,-0.3871374568434267,-0.33500162012016776,,0.25,Fallback
2026-09-26,CCAP,,Unclassified,6.583924349881796,0.8040107168953479,44.31336152675795,87.82271233662055,5.730539291137743,1.9637124926119696,63.3,87.1,85.2,Medium,100,2,109.73207249802994,,,87.82271233662055,0.0026804273919378337,0.0013152767765113827,0.2693946128226974,0.287399534088404,0.942921321029626,,-0.2286874988870108,,0.25,Fallback
2026-09-26,CICH,,Financials,11.9,9.808635948011307,10.407899026966271,11.007162105921235,-0.125386636389389,0.11515543673171841,40.9,52.5,81.8,High,90,2,6.685393258426966,1.4930991217063991,,,0.22141967621419675,0.35595595595595597,,-1.1863863863863864,3.8428393524283937,-0.1750687001493958,-0.10950518565467215,,0.25,Fallback
2026-09-26,CIEB,,Financials,24.072,21.980205524652693,26.387762112744255,30.795318700835818,0.09620148358026986,0.3340606580626165,61.6,63.9,84.3,High,90,2,4.833734939759036,1.3478163493840984,,,0.3133231789266195,0.5346686033177892,,-0.47748643070101676,0.09766149986560343,-0.23674075482303436,-0.22774050924517852,,0.25,Fallback
2026-09-26,CIRA,,Real Estate,39.07067725939017,9.241593074215963,17.32576687490326,18.99304347826087,-0.5565531981982929,1.721660253225632,65.6,48.9,85.6,Medium,100,4,23.969740649932625,9.150041512737747,15.658490271545647,39.07067725939017,0.3308097432521396,0.16817269076305222,0.4206827309236948,0.28329986613119146,1.3127057274522713,-0.23042134359576705,-0.2528921352200645,,0.25,Fallback
2026-09-26,CLHO,,Unclassified,15.49655172413793,4.556060729073638,6.48671640660895,8.417372084144263,-0.5814090436322662,0.595264400820198,51.6,44.8,85.9,High,100,2,45.578093306288025,5.937376139516449,,8.417372084144263,0.1509688013136289,0.07892813343144468,0.20750551876379691,-0.026204316899681137,0.9329110954726718,-0.09530287298975992,-0.20749898763601127,,0.25,Fallback
2026-09-26,CNFN,,Financials,4.3,1.6696257126959178,3.0562166061798797,4.442807499663842,-0.28925195205119075,0.9073904583072941,55.2,51.3,78.7,Medium,90,2,15.925925925925924,1.1911357340720221,,,0.06762350936967632,0.05423740392826644,,0.29615713065755767,2.0585604770017034,0.08178074106640287,-0.21792916096753212,,0.25,Fallback
2026-09-26,COMI,,Financials,128.0175953079179,86.48090941866431,104.05811724401494,121.63532506936556,-0.18715769505179158,0.3378344388863447,60.0,56.3,84.0,High,90,2,6.508266156986166,1.8217958632121518,,,0.3699709751023421,0.6338257907822313,,-0.7349855568170387,0.1667883027984699,-0.28525231429707454,-0.279388592655322,,0.25,Fallback
2026-09-26,CPCI,,Healthcare,561.2860013395848,58.378612476282875,561.2860013395848,561.2860013395848,0.0,0.8970083642043131,73.8,65.5,88.0,Medium,100,3,16.615926623433534,7.2172560285403735,58.378612476282875,561.2860013395848,0.4345305770887166,0.21081905557877142,0.28194316757208526,0.06422900125365649,0.1449526270456503,-0.24439863081719848,-0.1499658698797981,,0.25,Fallback
2026-09-26,CSAG,,Industrials,37.53333333333333,10.907890734263658,12.832812628545481,14.757734522827302,-0.6580955782803157,,75.6,49.9,89.6,High,90,1,9.929453262786597,6.573263280793928,12.832812628545481,,0.6619964973730298,6.873560431567463,0.3733179779367196,4.329191417141471,,-0.29251603585831,-0.20032774183264868,,0.25,Fallback
2026-09-26,DOMT,,Consumer,25.65372775202576,10.235074101630838,12.041263648977457,13.847453196324075,-0.5306232386431008,,54.3,48.0,90.9,High,100,1,40.72020278099327,4.759504221155058,,,0.144257555847569,0.02263971952979996,0.09894411218808001,0.03663023303773974,1.557161629434954,-0.1972584382397693,-0.19098370986408597,,0.25,Fallback
2026-09-26,EAST,,Consumer,31.68,50.200601546094106,59.05953123069895,67.91846091530378,0.8642528797569113,,54.3,82.9,90.9,High,100,1,10.25242718446602,7.167420814479638,,,0.7832880434782609,0.2500843495445125,0.26668915987853664,-0.1277052103918639,1.738149154589372,-0.1602959532362943,-0.17330314592819518,,0.25,Fallback
2026-09-26,EFIC,,Materials & Chemicals,175.0,41.51217739003999,78.90838720580273,116.30459702156547,-0.5490949302525558,0.9478386554328846,33.7,39.6,79.6,Medium,100,2,58.333333333333336,5.636070853462158,,116.30459702156547,0.1409591245574509,0.03642684854029776,0.19105048656741247,-0.23396822756383598,2.6746057289990346,-0.030467495661483546,-0.2552848005713042,,0.25,Fallback
2026-09-26,EFID,,Unclassified,29.48201438848921,27.87166229209449,29.07803298090963,30.284403669724767,-0.01370263925172315,0.08297471081397748,64.0,63.7,92.2,High,100,2,13.045139109950979,6.904453018381548,,27.87166229209449,0.5386569296713765,0.14185968726482148,0.1966719625386738,0.06028932184965298,0.9888871249404667,-0.3036643069505033,-0.26158003338274316,,0.25,Fallback
2026-09-26,EFIH,,Unclassified,22.95942028985507,9.112121458147277,9.21760639435874,9.3230913305702,-0.5985261701737451,0.02288770678600891,79.6,53.9,95.7,High,100,2,33.763853367433924,7.972020933977456,,9.3230913305702,0.30824834141994256,0.4033428349313294,0.43016325472920447,0.34970199533557916,0.020535696603624122,-0.2512752077679591,-0.23952821576159056,,0.25,Fallback
2026-09-26,EGAL,,Unclassified,356.969696969697,482.43001963027524,492.80336331030685,503.1767069903385,0.38051875969780347,0.04209932176741166,81.8,79.0,96.0,High,100,2,9.506516563773555,4.344811306836624,,482.43001963027524,0.45706951492977693,0.29152944276116455,0.378323955059563,0.2980973709467979,0.006273751917856721,-0.36618039170371053,-0.2774666827954466,,0.25,Fallback
2026-09-26,EGAS,,Energy & Utilities,54.98543891277215,18.013129560221575,21.19191712967244,24.370704699123305,-0.6145903797677983,,67.7,49.9,93.5,High,100,1,23.498050817423998,1.5859659334517493,21.19191712967244,,0.06948589717943589,0.03439889086947911,-0.04214795008912656,0.056150722915428795,0.22504500900180036,-0.14169404025974763,-0.1175380373068724,,0.25,Fallback
2026-09-26,EGBE,,Financials,26.660268714011515,34.32407234504836,41.000581070460335,47.67708979587231,0.5378907658538399,0.3256787367934255,59.2,74.2,83.9,High,90,2,3.4578818046707545,0.9559078061674978,,,0.3213772332124033,0.39480322906155396,,-1.2439455095862766,0.09822712026832775,-0.3141544948372569,-0.24883570184780923,,0.25,Fallback
